,id,d,lambda,m,v,e,cu,e/cu,g/cu,tp/d,tt,ike,cup,ke/cup,v2,tp
71,142,0.04,0.1,0.5,20,6.907755278982137,2.302585092994046,100,33.33333333,13.0562,0.052579999999999995,100.0,0.502654825,198.9436789,400,0.522248
80,152,0.04,0.1,0.2,10,5.298317366548036,0.0,200,66.66666667,9.7957,0.08736000000000001,10.0,0.050265482,198.9436789,100,0.391828
71,142,0.04,0.1,0.5,20,6.907755278982137,2.302585092994046,100,33.33333333,13.0562,0.052579999999999995,100.0,0.502654825,198.9436789,400,0.522248
121,207,0.08,0.1,0.5,15,7.824046010856292,1.6094379124341003,500,166.66666669999998,1.8234,0.01844,56.25,2.010619298,27.97645484,225,0.145872
60,130,0.04,0.1,0.5,5,6.214608098422191,1.6094379124341003,100,33.33333333,2.1742,0.0306,6.25,0.251327412,24.86795986,25,0.086968
130,216,0.04,0.1,0.5,20,8.517193191416238,2.302585092994046,500,166.66666669999998,8.8037,0.034,100.0,0.502654825,198.9436789,400,0.35214799999999996
130,216,0.04,0.1,0.5,20,8.517193191416238,2.302585092994046,500,166.66666669999998,8.8037,0.034,100.0,0.502654825,198.9436789,400,0.35214799999999996
216,327,0.04,0.2,0.5,20,8.517193191416238,2.302585092994046,500,166.66666669999998,6.2259,0.0237,100.0,0.502654825,198.9436789,400,0.249036
143,237,0.04,0.2,0.1,20,6.214608098422191,1.6094379124341003,100,33.33333333,3.9777,0.01712,20.0,0.251327412,79.57747155,400,0.159108
144,238,0.04,0.2,0.2,10,6.214608098422191,1.6094379124341003,100,33.33333333,2.3147,0.01734,10.0,0.251327412,39.78873577,100,0.092588
219,330,0.04,0.2,0.2,20,9.433483923290392,3.2188758248682006,500,166.66666669999998,1.5167,0.00496,40.0,1.256637061,31.83098862,400,0.060668
159,257,0.04,0.2,0.5,10,7.824046010856292,3.2188758248682006,100,33.33333333,1.4488,0.0092,25.0,1.256637061,19.89436789,100,0.057952000000000004
154,252,0.04,0.2,0.5,15,6.907755278982137,2.302585092994046,100,33.33333333,5.7784,0.029580000000000002,56.25,0.502654825,111.90581940000001,225,0.231136
169,268,0.08,0.2,0.2,15,5.298317366548036,0.0,200,66.66666667,2.3487,0.03188,22.5,0.40212386,55.95290968,225,0.187896
206,313,0.04,0.2,0.2,15,7.824046010856292,1.6094379124341003,500,166.66666669999998,3.1953,0.016,22.5,0.251327412,89.52465549,225,0.127812
176,276,0.04,0.2,0.2,15,6.907755278982137,1.6094379124341003,200,66.66666667,3.7908,0.01964,22.5,0.251327412,89.52465549,225,0.151632
142,235,0.04,0.2,0.1,10,6.214608098422191,1.6094379124341003,100,33.33333333,1.406,0.00922,5.0,0.251327412,19.89436789,100,0.05624
150,245,0.08,0.2,0.5,20,6.214608098422191,1.6094379124341003,100,33.33333333,2.6496,0.02282,100.0,2.010619298,49.73591972,400,0.211968
